ABANDON	AH.B.AE.N.D.AH.N
ABERRANT	AE.B.EH.R.AH.N.T
ABORTIVE	AH.B.AO.R.T.IH.V
ABOUND	AH.B.AW.N.D
ABSTRACT	AE.B.S.T.R.AE.K.T
ABUSE	AH.B.Y.UW.Z
ACCEDE	AE.K.S.IY.D
ACCORD	AH.K.AO.R.D
ACHIEVE	AH.CH.IY.V
ACRE	EY.K.ER
ADDITION	AH.D.IH.SH.AH.N
ADJACENT	AH.JH.EY.S.AH.N.T
ADO	AH.D.UW
ADVERBIAL	AE.D.V.ER.B.IY.AH.L
AEROBIC	EH.R.OW.B.IH.K
AFFILIATE	AH.F.IH.L.IY.EY.T
AGITATION	AE.JH.AH.T.EY.SH.AH.N
AIRFRAME	EH.R.F.R.EY.M
ALARMIST	AH.L.AA.R.M.IH.S.T
ALCOHOL	AE.L.K.AH.HH.AA.L
ALGORITHM	AE.L.G.ER.IH.DH.AH.M
ALLEGRO	AH.L.EH.G.R.OW
ALLOTMENT	AH.L.AA.T.M.AH.N.T
ALLOY	AE.L.OY
ALLUSION	AH.L.UW.ZH.AH.N
ALLY	AH.L.AY
ALMOND	AA.M.AH.N.D
ALONG	AH.L.AO.NG
AMATEUR	AE.M.AH.T.ER
AMAZON	AE.M.AH.Z.AA.N
AMID	AH.M.IH.D
AMINO	AH.M.IY.N.OW
AMORIST	AE.M.ER.AH.S.T
AMPLITUDE	AE.M.P.L.AH.T.UW.D
AMUSE	AH.M.Y.UW.Z
AMUSING	AH.M.Y.UW.Z.IH.NG
ANALYTIC	AE.N.AH.L.IH.T.IH.K
ANCESTRY	AE.N.S.EH.S.T.R.IY
ANCHOR	AE.NG.K.ER
ANECDOTE	AE.N.AH.K.D.OW.T
ANNOY	AH.N.OY
ANVIL	AE.N.V.AH.L
ANXIOUS	AE.NG.SH.AH.S
ANYTHING	EH.N.IY.TH.IH.NG
APOSTLE	AH.P.AA.S.AH.L
ARBITRATE	AA.R.B.AH.T.R.EY.T
ARROYO	ER.OY.OW
ASCENT	AH.S.EH.N.T
ASININE	AE.S.AH.N.AY.N
ASSAIL	AH.S.EY.L
ASSISTANT	AH.S.IH.S.T.AH.N.T
ATLAS	AE.T.L.AH.S
ATMOSPHERE	AE.T.M.AH.S.F.IH.R
ATOP	AH.T.AA.P
ATTRIBUTE	AH.T.R.IH.B.Y.UW.T
ATTRITION	AH.T.R.IH.SH.AH.N
AUDIO	AA.D.IY.OW
AUSPICE	AO.S.P.IH.S
AUTONOMY	AO.T.AA.N.AH.M.IY
AVOID	AH.V.OY.D
AW	AO
AWKWARD	AO.K.W.ER.D
AYE	AY
AZALEA	AH.Z.EY.L.Y.AH
BACKLASH	B.AE.K.L.AE.SH
BACKWOODS	B.AE.K.W.UH.D.Z
BALLET	B.AE.L.EY
BALMY	B.AA.M.IY
BARGAIN	B.AA.R.G.IH.N
BARITONE	B.EH.R.AH.T.OW.N
BASEMENT	B.EY.S.M.AH.N.T
BASHFUL	B.AE.SH.F.AH.L
BASTARD	B.AE.S.T.ER.D
BATTER	B.AE.T.ER
BAZAAR	B.AH.Z.AA.R
BEAN	B.IY.N
BED	B.EH.D
BEGIN	B.IH.G.IH.N
BELOVED	B.IH.L.AH.V.D
BELTING	B.EH.L.T.IH.NG
BEREFT	B.ER.EH.F.T
BESIEGE	B.IH.S.IY.JH
BEVY	B.EH.V.IY
BIG	B.IH.G
BLACKMAIL	B.L.AE.K.M.EY.L
BLACKOUT	B.L.AE.K.AW.T
BLANDLY	B.L.AE.N.D.L.IY
BLOCK	B.L.AA.K
BLOCKHOUSE	B.L.AA.K.HH.AW.S
BLUR	B.L.ER
BOARDING	B.AO.R.D.IH.NG
BOISTEROUS	B.OY.S.T.R.AH.S
BOLSTER	B.OW.L.S.T.ER
BOMBER	B.AA.M.ER
BOOGIE	B.UW.G.IY
BOOKSHELF	B.UH.K.SH.EH.L.F
BOORISH	B.UH.R.IH.SH
BOUNDLESS	B.AW.N.D.L.AH.S
BOWEL	B.AW.AH.L
BOY	B.OY
BOYCOTT	B.OY.K.AA.T
BRAVADO	B.R.AH.V.AA.D.OW
BREAKTHROUGH	B.R.EY.K.TH.R.UW
BREATHING	B.R.IY.DH.IH.NG
BREW	B.R.UW
BRIDE	B.R.AY.D
BRILLIANCE	B.R.IH.L.Y.AH.N.S
BROACH	B.R.OW.CH
BROIL	B.R.OY.L
BRUISE	B.R.UW.Z
BRUSH	B.R.AH.SH
BRUTAL	B.R.UW.T.AH.L
BUCKSKIN	B.AH.K.S.K.IH.N
BUILD	B.IH.L.D
BUILDER	B.IH.L.D.ER
BULK	B.AH.L.K
BULKHEAD	B.AH.L.K.HH.EH.D
BULLSHIT	B.UH.L.SH.IH.T
BUM	B.AH.M
BUNDLE	B.AH.N.D.AH.L
BUNT	B.AH.N.T
BUREAU	B.Y.UH.R.OW
BURROW	B.ER.OW
BUT	B.AH.T
BUTCHER	B.UH.CH.ER
BUTTRESS	B.AH.T.R.AH.S
BYGONE	B.AY.G.AO.N
CALLING	K.AO.L.IH.NG
CANAL	K.AH.N.AE.L
CANON	K.AE.N.AH.N
CANVASS	K.AE.N.V.AH.S
CAPITOL	K.AE.P.IH.T.AH.L
CAPRICIOUS	K.AH.P.R.IH.SH.AH.S
CAPTURE	K.AE.P.CH.ER
CAREER	K.ER.IH.R
CARICATURE	K.EH.R.AH.K.AH.CH.ER
CARP	K.AA.R.P
CASINO	K.AH.S.IY.N.OW
CEASELESSLY	S.IY.Z.L.AH.S.L.IY
CHANCERY	CH.AE.N.S.ER.IY
CHAOS	K.EY.AA.S
CHART	CH.AA.R.T
CHEEK	CH.IY.K
CHEERY	CH.IH.R.IY
CHILI	CH.IH.L.IY
CHOLERA	K.AA.L.ER.AH
CHOPPER	CH.AA.P.ER
CHUNK	CH.AH.NG.K
CLAW	K.L.AO
CLEAVE	K.L.IY.V
CLIMAX	K.L.AY.M.AE.K.S
CLINCHER	K.L.IH.N.CH.ER
CLOCKWORK	K.L.AA.K.W.ER.K
CLOTHES	K.L.OW.Z
CLOTHING	K.L.OW.DH.IH.NG
CLOUD	K.L.AW.D
CLOUDY	K.L.AW.D.IY
CLOY	K.L.OY
CLUCK	K.L.AH.K
COACH	K.OW.CH
COCAINE	K.OW.K.EY.N
COCKEYED	K.AA.K.AY.D
COCO	K.OW.K.OW
CODE	K.OW.D
COED	K.OW.EH.D
COEXIST	K.OW.AH.G.Z.IH.S.T
COGNAC	K.OW.N.Y.AE.K
COHESION	K.OW.HH.IY.ZH.AH.N
COLLAGEN	K.AA.L.AH.G.AH.N
COLLECTIVE	K.AH.L.EH.K.T.IH.V
COLONY	K.AA.L.AH.N.IY
COMA	K.OW.M.AH
COMB	K.OW.M
COMMENT	K.AA.M.EH.N.T
COMMITTEE	K.AH.M.IH.T.IY
COMMUNAL	K.AH.M.Y.UW.N.AH.L
COMPETE	K.AH.M.P.IY.T
COMPLAINT	K.AH.M.P.L.EY.N.T
COMPLETE	K.AH.M.P.L.IY.T
COMPORT	K.AH.M.P.AO.R.T
CONDUCIVE	K.AH.N.D.UW.S.IH.V
CONFEREE	K.AA.N.F.ER.IY
CONNIVANCE	K.AH.N.AY.V.AH.N.S
CONSOLE	K.AH.N.S.OW.L
CONTAIN	K.AH.N.T.EY.N
CONVOY	K.AA.N.V.OY
COOK	K.UH.K
COPYWRITER	K.AA.P.IY.R.AY.T.ER
CORNER	K.AO.R.N.ER
CORNMEAL	K.AO.R.N.M.IY.L
CORNY	K.AO.R.N.IY
CORTEGE	K.AO.R.T.EH.ZH
COUNTER	K.AW.N.T.ER
COUNTERACT	K.AW.N.T.ER.AE.K.T
CRAFT	K.R.AE.F.T
CRAGGY	K.R.AE.G.IY
CRAMP	K.R.AE.M.P
CRAZY	K.R.EY.Z.IY
CREATION	K.R.IY.EY.SH.AH.N
CREVICE	K.R.EH.V.AH.S
CRIMSON	K.R.IH.M.Z.AH.N
CROOK	K.R.UH.K
CULTURE	K.AH.L.CH.ER
CURIOUS	K.Y.UH.R.IY.AH.S
CURLY	K.ER.L.IY
CUTTER	K.AH.T.ER
CYLINDER	S.IH.L.IH.N.D.ER
DANCE	D.AE.N.S
DANK	D.AE.NG.K
DEAD	D.EH.D
DEALER	D.IY.L.ER
DEBT	D.EH.T
DEBUT	D.EY.B.Y.UW
DECREASE	D.IY.K.R.IY.S
DEEPLY	D.IY.P.L.IY
DELEGATE	D.EH.L.AH.G.EY.T
DEMAND	D.IH.M.AE.N.D
DEMANDING	D.IH.M.AE.N.D.IH.NG
DERELICT	D.EH.R.AH.L.IH.K.T
DERISION	D.ER.IH.ZH.AH.N
DERIVATIVE	D.ER.IH.V.IH.T.IH.V
DESECRATE	D.EH.Z.AH.K.R.EY.T
DESERVING	D.IH.Z.ER.V.IH.NG
DESPOT	D.EH.S.P.AH.T
DETECTION	D.IH.T.EH.K.SH.AH.N
DIALYSIS	D.AY.AE.L.IH.S.IH.S
DIATHERMY	D.AY.AH.TH.ER.M.IY
DIATOMIC	D.AY.AH.T.AA.M.IH.K
DIE	D.AY
DIFFUSE	D.IH.F.Y.UW.Z
DIG	D.IH.G
DIGNITY	D.IH.G.N.AH.T.IY
DILIGENCE	D.IH.L.IH.JH.AH.N.S
DIMINISH	D.IH.M.IH.N.IH.SH
DINE	D.AY.N
DIRECTLY	D.IY.R.EH.K.L.IY
DISABLE	D.IH.S.EY.B.AH.L
DISCLOSURE	D.IH.S.K.L.OW.ZH.ER
DISENGAGE	D.IH.S.IH.N.G.EY.JH
DISLODGE	D.IH.S.L.AA.JH
DISMAL	D.IH.Z.M.AH.L
DISOWN	D.IH.S.OW.N
DISPLAY	D.IH.S.P.L.EY
DISSENTER	D.IH.S.EH.N.T.ER
DISSOLVE	D.IH.Z.AA.L.V
DISTURBING	D.IH.S.T.ER.B.IH.NG
DITCH	D.IH.CH
DIVULGE	D.IH.V.AH.L.JH
DOG	D.AO.G
DOGGONE	D.AO.G.AO.N
DOMAIN	D.OW.M.EY.N
DON	D.AA.N
DOOMSDAY	D.UW.M.Z.D.EY
DOWN	D.AW.N
DOWNHILL	D.AW.N.HH.IH.L
DOWNWARD	D.AW.N.W.ER.D
DRAFT	D.R.AE.F.T
DRIVER	D.R.AY.V.ER
DROVER	D.R.OW.V.ER
DRUDGERY	D.R.AH.JH.ER.IY
DRUG	D.R.AH.G
DUD	D.AH.D
DUEL	D.UW.AH.L
DUST	D.AH.S.T
EASIER	IY.Z.IY.ER
EASY	IY.Z.IY
EATABLE	IY.T.AH.B.AH.L
EFFACE	IH.F.EY.S
EFFORTLESS	EH.F.ER.T.L.AH.S
ELEVENTH	IY.L.EH.V.AH.N.TH
ELONGATE	IH.L.AO.NG.G.EY.T
ELSE	EH.L.S
ENCHANT	EH.N.CH.AE.N.T
ENDEAVOR	IH.N.D.EH.V.ER
ENJOYMENT	IH.N.JH.OY.M.AH.N.T
ENSEMBLE	AA.N.S.AA.M.B.AH.L
ENTITLE	IH.N.T.AY.T.AH.L
ENTOURAGE	AA.N.T.UH.R.AA.ZH
ENTROPY	EH.N.T.R.AH.P.IY
ENTRUST	EH.N.T.R.AH.S.T
ENTWINE	EH.N.T.W.AY.N
ENUMERATE	IH.N.UW.M.ER.EY.T
ENVISION	EH.N.V.IH.ZH.AH.N
EQUATION	IH.K.W.EY.ZH.AH.N
ERECT	IH.R.EH.K.T
ERROR	EH.R.ER
ESSENTIAL	IY.S.EH.N.SH.AH.L
ETHICALLY	EH.TH.IH.K.AH.L.IY
EUPHORIA	Y.UW.F.AO.R.IY.AH
EVENING	IY.V.N.IH.NG
EVERGREEN	EH.V.ER.G.R.IY.N
EXAGGERATE	IH.G.Z.AE.JH.ER.EY.T
EXCEED	IH.K.S.IY.D
EXCESS	IH.K.S.EH.S
EXECUTE	EH.K.S.AH.K.Y.UW.T
EXHIBITOR	IH.G.Z.IH.B.AH.T.ER
EXPAND	IH.K.S.P.AE.N.D
EXPLOIT	EH.K.S.P.L.OY.T
EXPOSURE	IH.K.S.P.OW.ZH.ER
EYEBALL	AY.B.AO.L
EYESIGHT	AY.S.AY.T
FACTION	F.AE.K.SH.AH.N
FAILURE	F.EY.L.Y.ER
FALLACY	F.AE.L.AH.S.IY
FALSEHOOD	F.AE.L.S.HH.UH.D
FAMED	F.EY.M.D
FANCY	F.AE.N.S.IY
FAREWELL	F.EH.R.W.EH.L
FAST	F.AE.S.T
FATHOM	F.AE.DH.AH.M
FAVOR	F.EY.V.ER
FEATHER	F.EH.DH.ER
FEEL	F.IY.L
FEMININE	F.EH.M.AH.N.AH.N
FEN	F.EH.N
FENUGREEK	F.EH.N.UW.G.R.IY.K
FERTILE	F.ER.T.AH.L
FETE	F.EY.T
FIELD	F.IY.L.D
FIGURINE	F.IH.G.Y.ER.IY.N
FILTER	F.IH.L.T.ER
FINANCE	F.IH.N.AE.N.S
FINANCIER	F.IH.N.AH.N.S.IH.R
FINDING	F.AY.N.D.IH.NG
FIRE	F.AY.R
FIRECRACKER	F.AY.ER.K.R.AE.K.ER
FIREPLACE	F.AY.ER.P.L.EY.S
FIRM	F.ER.M
FIT	F.IH.T
FITFUL	F.IH.T.F.AH.L
FIVE	F.AY.V
FIXTURE	F.IH.K.S.CH.ER
FJORD	F.Y.AO.R.D
FLANNEL	F.L.AE.N.AH.L
FLAVORING	F.L.EY.V.ER.IH.NG
FLECK	F.L.EH.K
FLOWERING	F.L.AW.ER.IH.NG
FLUORIDE	F.L.UH.R.AY.D
FLURRY	F.L.ER.IY
FLUSH	F.L.AH.SH
FOLD	F.OW.L.D
FOLDER	F.OW.L.D.ER
FOOTBALL	F.UH.T.B.AO.L
FOOTNOTE	F.UH.T.N.OW.T
FOOTSTEP	F.UH.T.S.T.EH.P
FOR	F.R.ER
FOREHEAD	F.AO.R.HH.EH.D
FORESIGHT	F.AO.R.S.AY.T
FORMAL	F.AO.R.M.AH.L
FORMER	F.AO.R.M.ER
FORT	F.AO.R.T
FOUNDER	F.AW.N.D.ER
FOUR	F.AO.R
FRACTURE	F.R.AE.K.SH.ER
FRAIL	F.R.EY.L
FRANKNESS	F.R.AE.NG.K.N.AH.S
FRAY	F.R.EY
FREQUENT	F.R.IY.K.W.EH.N.T
FRESCO	F.R.EH.S.K.OW
FRICTION	F.R.IH.K.SH.AH.N
FROLIC	F.R.AA.L.IH.K
FROSTBITE	F.R.AO.S.T.B.AY.T
FULL	F.UH.L
FUME	F.Y.UW.M
FUNGICIDE	F.AH.N.JH.AH.S.AY.D
FUNNY	F.AH.N.IY
FURLOUGH	F.ER.L.OW
FUTURE	F.Y.UW.CH.ER
GALLSTONE	G.AO.L.S.T.OW.N
GAUGE	G.EY.JH
GENE	JH.IY.N
GENERALLY	JH.EH.N.R.AH.L.IY
GENRE	ZH.AA.N.R.AH
GHOSTLY	G.OW.S.T.L.IY
GHOUL	G.UW.L
GIFTED	G.IH.F.T.IH.D
GLAMOROUS	G.L.AE.M.ER.AH.S
GLANCE	G.L.AE.N.S
GLIMPSE	G.L.IH.M.P.S
GLINT	G.L.IH.N.T
GLOSSARY	G.L.AO.S.ER.IY
GLOWER	G.L.AW.ER
GOB	G.AA.B
GOSSIP	G.AA.S.AH.P
GRAPPLING	G.R.AE.P.L.IH.NG
GREAT	G.R.EY.T
GREED	G.R.IY.D
GRIMACE	G.R.IH.M.AH.S
GRIN	G.R.IH.N
GROPING	G.R.OW.P.IH.NG
GRUDGE	G.R.AH.JH
GUIDE	G.AY.D
HAMMER	HH.AE.M.ER
HANDSOME	HH.AE.N.S.AH.M
HANDY	HH.AE.N.D.IY
HAPPILY	HH.AE.P.AH.L.IY
HAPPINESS	HH.AE.P.IY.N.AH.S
HARANGUE	HH.ER.AE.NG
HARDWARE	HH.AA.R.D.W.EH.R
HARDY	HH.AA.R.D.IY
HARPING	HH.AA.R.P.IH.NG
HAZE	HH.EY.Z
HEADDRESS	HH.EH.D.R.EH.S
HEADING	HH.EH.D.IH.NG
HEATHEN	HH.IY.DH.AH.N
